	name	place_id	types	lat	long
43	Crazy 8	ChIJRdEDiYx7j4ARg3wj4mp3NQs	[clothing_store, store, point_of_interest, establishment]	37.6722355	-122.4707428
44	Creekside Inn	ChIJk-81NEQzjoARbseaaQj2g_E	[lodging, point_of_interest, establishment]	37.4186982	-122.1352589
45	Crossroads Cafe	ChIJD6D7lXeAhYARpItz2DTPkaU	[cafe, food, store, point_of_interest, establishment]	37.78315500000001	-122.3890425
46	Cuesta Park	ChIJ8QmpntO2j4ARX1iGIbLixxY	[park, point_of_interest, establishment]	37.37193070000001	-122.0795631
47	Dottie's True Blue Cafe	ChIJXbxV1JGAhYARPXnXlHU1eoY	[cafe, restaurant, food, point_of_interest, establishment]	37.78169899999999	-122.410004
48	Eagle Cafe	ChIJHSGzi_yAhYARy4aO4ROvmmk	[cafe, restaurant, food, point_of_interest, establishment]	37.8087767	-122.4103166
49	Econo Lodge	ChIJq0-3oE2Sj4ARLTB1NpnLN7Q	[lodging, point_of_interest, establishment]	37.6961445	-122.051321
50	Epicenter Cafe	ChIJnSovWn6AhYARBuVCcKrP2Ts	[cafe, store, restaurant, food, point_of_interest, establishment]	37.7814906	-122.3989747
51	Express - Hillsdale	ChIJdYut3AKfj4ARNudMIICsMFc	[clothing_store, store, point_of_interest, establishment]	37.5370996	-122.3002221
52	Famous Food Restaurant	ChIJCxug4Ay2j4AROJr_grvgSN4	[cafe, restaurant, food, point_of_interest, establishment]	37.36620440000001	-122.0162011
53	Farallon	ChIJJ0yB8o6AhYAR0HIFmCURzGc	[bar, restaurant, food, point_of_interest, establishment]	37.7883431	-122.4093377
54	farmerbrown	ChIJv-klmoWAhYAReflECbnTyRE	[bar, restaurant, food, point_of_interest, establishment]	37.78353729999999	-122.4093006
55	Fast Food Francais	ChIJP6uDl1GEhYAR0tRfOMZkVTU	[restaurant, food, point_of_interest, establishment]	37.8583266	-122.4851063
56	Flea Street	ChIJCZfXbumkj4AR1p2me3o8urg	[restaurant, food, point_of_interest, establishment]	37.431814	-122.2011261
57	Flour + Water	ChIJDVaCXjd-j4AR4AOGUS0kLGc	[restaurant, food, point_of_interest, establishment]	37.7589424	-122.4122683
58	Free People	ChIJFV0G_sFhhYARc_HnIHuNBLA	[clothing_store, store, point_of_interest, establishment]	37.896337	-122.0608903
59	Glen Canyon Park	ChIJ9SlCdnZ-j4AR86EzE6c9NY8	[park, point_of_interest, establishment]	37.74155880000001	-122.4431851
60	Golden Gate Park	ChIJY_dFYHKHhYARMKc772iLvnE	[park, point_of_interest, establishment]	37.7694208	-122.4862138
61	Grand View Park	ChIJFS16LmCHhYAR9-5CGavbV2k	[park, point_of_interest, establishment]	37.7562628	-122.4718452
62	Greens Restaurant	ChIJceeAXt6AhYARur0rWLmvt1A	[restaurant, food, point_of_interest, establishment]	37.8067965	-122.4321689
63	Grove Yerba Buena	ChIJiZyN7IeAhYARnCn-G6GH73Q	[restaurant, food, point_of_interest, establishment]	37.7865472	-122.4019763
64	Guerilla Cafe	ChIJoe7XC6F-hYARYIiq13W7xeM	[cafe, store, restaurant, food, point_of_interest, establishment]	37.877911	-122.269297
65	Gymboree	ChIJP5NLubt9j4ARJTpn02F3beg	[clothing_store, store, point_of_interest, establishment]	37.7281544	-122.4768161
66	H&M	ChIJ0aBPHbhmhYARe3byyAvdLl0	[clothing_store, store, point_of_interest, establishment]	37.9686752	-122.0612769
67	Half Moon Bay Lodge	ChIJnfXzUXILj4ARu-Rak_8q0ow	[lodging, point_of_interest, establishment]	37.43320900000001	-122.4282018
68	Hard Knox Cafe and San Francisco Soul Food Restaurant	ChIJOz17Ibp_j4ARolRA3CEhntA	[restaurant, cafe, food, point_of_interest, establishment]	37.7575286	-122.3885092
69	Hog Island Oyster Co	ChIJWTGPjmaAhYARgXpiJ-aACYM	[bar, restaurant, food, point_of_interest, establishment]	37.7959142	-122.3934992
70	Huddart Park	ChIJbxHK_i-hj4ARsuIi3YGxk7E	[park, point_of_interest, establishment]	37.43601170000001	-122.2992378
